	Degraded	Empty	Vegetated	b	flowlength	qminusminus	qminusplus	qplusplus
28	7829	1344	827	0.4	7.399407425951182	0.9445655728769214	0.30683192261185005	0.3851269649334946
29	7811	1338	851	0.4	7.309467178081824	0.9440375997376762	0.3011163337250294	0.3983548766157462
30	7766	1369	865	0.4	7.2360517290717175	0.9435686918445539	0.28728323699421965	0.40404624277456647
31	7721	1397	882	0.4	7.177472700160428	0.9428054397894275	0.2698412698412698	0.4087301587301587
32	7719	1397	884	0.4	7.0881847811751175	0.9421895568231681	0.2757352941176471	0.40384615384615385
33	7750	1348	902	0.4	7.026478526802948	0.9421850956254122	0.28824833702882485	0.41685144124168516
34	7736	1347	917	0.4	7.012173072675494	0.9415391390509743	0.2750817884405671	0.42093784078516905
35	7735	1351	914	0.4	6.938789466997664	0.9410631741140215	0.2770787746170678	0.4141137855579869
36	7728	1340	932	0.4	6.896174062824738	0.9389611821790913	0.27467811158798283	0.4061158798283262
37	7694	1344	962	0.4	6.691020375706994	0.9378734233237442	0.28040540540540543	0.41632016632016633
38	7643	1392	965	0.4	6.574048078726506	0.9379081350304372	0.27202072538860106	0.41865284974093264
39	7614	1418	968	0.4	6.574851418308587	0.9382196634189548	0.26007231404958675	0.42355371900826444
40	7660	1339	1001	0.4	6.599569784252586	0.9372708078675408	0.27697302697302695	0.43606393606393606
41	7578	1418	1004	0.4	6.4944660467012145	0.9376945309026233	0.25199203187250996	0.44173306772908366
42	7556	1417	1027	0.4	6.528219323049712	0.9359745904379806	0.250730282375852	0.440603700097371
43	7548	1405	1047	0.4	6.368412989906647	0.9351613984139394	0.25405921680993315	0.4455587392550143
44	7513	1400	1087	0.4	6.2887800080386675	0.9345899248289016	0.2486200551977921	0.46366145354185834
45	7539	1374	1087	0.4	6.215667299596105	0.9344216313250309	0.25896964121435145	0.4622815087396504
46	7520	1369	1111	0.4	6.202528893529941	0.9331758353020587	0.2522502250225023	0.46534653465346537
47	7505	1358	1137	0.4	6.090464255641324	0.9318515175448494	0.2486807387862797	0.4687774846086192
48	7461	1422	1117	0.4	5.97462078419099	0.9318360914105595	0.2437332139659803	0.45792300805729635
49	7454	1423	1123	0.4	5.986976505776347	0.9310014644587136	0.24265360641139805	0.4545859305431879
